,video_id,video_title,upload_date,view_count,like_count,comment_count
230,a4PvfYRD11w,Тюрьма и выборы. Беседа с Владимиром Осечкиным  Гулагу-нет Официальный канал,2021-09-23,74546,7858,266
231,PsC87lA5dFA,Выбор. Беседа с  Народовластие В. Мальцев,2021-09-19,147768,13971,653
232,hijy3NFIyYA,Подписка о неразглашении. Беседа с Борисом Кузнецовым и Сергеем Жирновым  Serguei Jirnov,2021-09-12,104481,9673,164
233,SY1GiUOff9Q,Он слишком много знал. Беседа с  Народовластие В. Мальцев. Специальный гость  General SVR,2021-09-10,246562,18943,1121
234,NVkW3tGXoK0,Неубиваемый Навальный. Беседа с Фёдором Крашенинниковым,2021-08-15,125509,13009,673
235,jeDGEVX7dGQ,Розовые пони. Беседа с Аркадием Бабченко,2021-08-12,88758,10079,534
236,HnCvJlGOgw8,"Союзники? Беседа с участием Андрея Илларионова, Павла Климкина, Алексея Арестовича",2021-08-08,152351,13906,643
237,PjpXRnsjQ2E,Разгром? Беседа с  Валерий Соловей,2021-08-07,198052,18228,773
238,BSntGgu-vvA,Потеря легитимности. Беседа с Игорем Яковенко,2021-08-05,118791,12302,529
239,sMLqq0LwXfQ,Диктатура и спорт. Беседа с Геннадием Гудковым,2021-08-02,91546,10283,293
240,nIBjm-RGr7U,Дурiсть чи зрада? Беседа с Андреем Пионтковским,2021-08-01,139910,14241,631
241,TV9KCtxYfik,Заведомая правда. Беседа с Христо Грозевым,2021-07-29,142095,18743,464
242,9Uh0b049DRE,Сидели на трубе... Беседа с Вячеславом Мальцевым,2021-07-26,101944,8794,748
243,xyDIxc6XcRE,П. и М. сидели на трубе... Беседа с Вячеславом Мальцевым,2021-07-26,41249,4748,83
244,XbtiZTCtlbQ,Союзники Украины. Беседа с  Alexey Arestovych и Андреем Пионтковским,2021-07-19,128654,14587,1309
245,NnX0twP-6EA,Скоро ли война? Стрим Марка Фейгина,2021-07-15,161773,18383,955
246,SpX8MN_UE8I,Анти-Россия и анти-Украина. Беседа с Игорем Яковенко,2021-07-13,107498,11776,553
247,nFq7fV6dBUs,Статистическая погрешность. Беседа с д-р мед. наук Михаилом Фаворовым,2021-07-08,111245,11301,679
248,mXtGwy32Uos,Расплата. Беседа с Франаком Вячоркой,2021-06-24,134254,13439,831
249,LItk_18BhK0,Возвращение. Беседа с журналистом Евгением Трифоновым,2021-07-11,120241,12051,339
250,doPChMrWo58,Выборные против несменяемых. Беседа с Виталием Портниковым  Портников. Аргументы,2021-07-06,122014,12025,651
251,CBxIs5c0fQg,Шмурдяк. Стрим Марка Фейгина,2021-07-02,146433,14176,902
252,E3t4TdH_Zt4,&quot;Минский капкан&quot; для Зеленского. Беседа с Андреем Пионтковским,2021-06-27,133384,13625,492
